               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045431,            0.074064,            0.019186,             0.65226,             0.58834,             0.64111,             0.42778,            0.041518,            0.040283,            0.013647,              0.0937,              0.0007,              0.0007
                   1,            0.045466,            0.070225,             0.01896,              0.6784,             0.60731,             0.66967,             0.45448,            0.040719,            0.038963,            0.011992,            0.086493,           0.0014926,           0.0014926
                   2,            0.045159,            0.063115,            0.018617,             0.71276,             0.61693,             0.69608,             0.45779,            0.040403,            0.037744,            0.010919,            0.079277,           0.0022772,           0.0022772
                   3,            0.043025,            0.062549,            0.018126,              0.7422,              0.6303,             0.71776,             0.46921,            0.040413,            0.036903,            0.009865,            0.072054,            0.003054,            0.003054
                   4,            0.043807,            0.061023,             0.01648,             0.79216,             0.65257,             0.74155,             0.48293,            0.041322,            0.036456,           0.0088291,            0.064823,           0.0038228,           0.0038228
                   5,             0.04559,            0.063858,            0.015014,             0.77233,             0.68547,             0.75753,             0.48057,            0.041517,            0.035728,           0.0081043,            0.057584,           0.0045837,           0.0045837
                   6,            0.046624,            0.060727,            0.014352,             0.74318,             0.62557,             0.71863,             0.38179,            0.050152,            0.035048,           0.0074513,            0.050337,           0.0053367,           0.0053367
                   7,              0.0469,            0.062122,            0.014942,             0.73169,             0.67982,             0.74336,             0.45898,            0.044081,            0.033161,           0.0071287,            0.043082,           0.0060817,           0.0060817
                   8,            0.046571,            0.056543,            0.014216,               0.649,              0.6928,             0.72458,             0.44851,             0.04523,            0.032208,           0.0065627,            0.035819,           0.0068188,           0.0068188
                   9,             0.04822,            0.056493,            0.012339,             0.75373,             0.71445,             0.78413,             0.49176,            0.042987,            0.031832,           0.0061855,            0.028548,           0.0075481,           0.0075481
                  10,            0.045585,            0.060054,             0.01289,             0.69919,             0.69911,             0.76941,             0.49253,            0.045523,            0.030971,           0.0060639,            0.021269,           0.0082693,           0.0082693
                  11,             0.04856,            0.050559,            0.013296,             0.76808,             0.68632,             0.77812,             0.50014,            0.044784,            0.031013,           0.0062304,            0.013983,           0.0089827,           0.0089827
                  12,            0.050219,            0.055531,            0.011988,             0.74675,             0.70486,             0.77913,             0.48026,            0.044992,            0.031195,           0.0064526,            0.009406,            0.009406,            0.009406
                  13,            0.046437,            0.052166,            0.011678,             0.79818,             0.69684,             0.79622,              0.5087,             0.04528,            0.030346,           0.0061829,            0.009406,            0.009406,            0.009406
                  14,            0.047172,             0.05242,            0.012241,             0.81416,             0.74345,             0.82125,             0.51334,            0.043427,            0.031297,           0.0061719,           0.0093565,           0.0093565,           0.0093565
                  15,            0.045831,             0.05005,            0.011869,             0.78923,             0.76735,             0.82313,             0.51209,            0.043053,            0.030176,           0.0057321,            0.009307,            0.009307,            0.009307
                  16,            0.046758,            0.057888,            0.011392,             0.83573,             0.77885,             0.86993,             0.52691,            0.042345,            0.028913,           0.0055149,           0.0092575,           0.0092575,           0.0092575
                  17,            0.045823,            0.053125,            0.011492,             0.84705,             0.76874,             0.86275,             0.54599,            0.042072,            0.029612,           0.0058596,            0.009208,            0.009208,            0.009208
                  18,            0.044866,             0.05054,            0.011781,             0.80987,             0.78877,             0.85542,             0.54392,            0.041848,            0.028465,           0.0053425,           0.0091585,           0.0091585,           0.0091585
                  19,            0.045341,            0.049981,            0.010422,              0.8248,             0.79511,             0.86563,             0.55178,            0.040649,            0.027999,           0.0052733,            0.009109,            0.009109,            0.009109
                  20,            0.045226,            0.052123,            0.010178,             0.80706,             0.81763,             0.87174,             0.53874,            0.042088,            0.027922,            0.005228,           0.0090595,           0.0090595,           0.0090595
                  21,            0.044844,            0.049678,            0.010093,              0.8419,             0.81098,             0.88102,             0.56527,             0.04076,            0.027248,           0.0049746,             0.00901,             0.00901,             0.00901
                  22,            0.043814,            0.050991,            0.010481,             0.85859,             0.82291,              0.8832,             0.56862,            0.040377,            0.026977,           0.0047231,           0.0089605,           0.0089605,           0.0089605
                  23,            0.046115,            0.048892,           0.0096614,             0.82398,              0.8425,             0.88476,             0.58979,            0.038029,            0.026097,           0.0045872,            0.008911,            0.008911,            0.008911
                  24,            0.043898,            0.044951,            0.011509,             0.86041,              0.8177,             0.88161,             0.55762,            0.040486,             0.02647,           0.0045152,           0.0088615,           0.0088615,           0.0088615
                  25,            0.045333,            0.045848,           0.0093247,             0.86127,             0.82966,             0.89743,             0.57539,            0.040234,            0.025978,           0.0044349,            0.008812,            0.008812,            0.008812
                  26,            0.044182,            0.049647,           0.0098011,             0.87589,             0.83338,             0.90132,             0.58497,            0.040419,             0.02626,           0.0046439,           0.0087625,           0.0087625,           0.0087625
                  27,            0.044436,            0.043481,            0.009746,             0.85335,             0.83478,             0.89755,             0.58852,            0.038976,            0.026201,            0.004786,            0.008713,            0.008713,            0.008713
                  28,            0.042074,            0.043953,              0.0101,             0.83921,             0.84346,             0.90546,             0.57896,            0.038323,             0.02645,           0.0046391,           0.0086635,           0.0086635,           0.0086635
                  29,            0.042893,            0.049405,           0.0093841,             0.79788,             0.83101,               0.882,             0.55225,            0.039699,              0.0264,           0.0046496,            0.008614,            0.008614,            0.008614
                  30,            0.045437,            0.049111,           0.0090812,             0.83544,             0.82779,             0.89731,             0.57081,            0.039227,            0.025739,           0.0045354,           0.0085645,           0.0085645,           0.0085645
                  31,            0.043867,            0.047747,           0.0094459,             0.87104,              0.8305,             0.89803,             0.60307,            0.037924,            0.025534,           0.0043731,            0.008515,            0.008515,            0.008515
                  32,            0.042571,            0.042566,           0.0091546,             0.88552,             0.82127,             0.90441,             0.59147,            0.038778,            0.025312,           0.0043718,           0.0084655,           0.0084655,           0.0084655
                  33,            0.040677,            0.042358,           0.0085901,             0.87275,             0.84817,             0.90907,             0.61104,            0.037103,            0.025067,           0.0044563,            0.008416,            0.008416,            0.008416
                  34,            0.040874,             0.04573,           0.0086208,             0.87951,              0.8407,             0.90901,             0.61027,            0.035987,            0.025231,           0.0045087,           0.0083665,           0.0083665,           0.0083665
